iter	Passed	Remaining
904	9200	965
905	9210	955
906	9220	945
907	9230	935
908	9241	925
909	9251	914
910	9262	904
911	9272	894
912	9282	884
913	9293	874
914	9303	864
915	9314	854
916	9325	844
917	9335	833
918	9345	823
919	9355	813
920	9365	803
921	9376	793
922	9386	783
923	9397	772
924	9409	762
925	9418	752
926	9428	742
927	9437	732
928	9447	722
929	9458	711
930	9468	701
931	9478	691
932	9488	681
933	9498	671
934	9508	661
935	9518	650
936	9529	640
937	9538	630
938	9549	620
939	9560	610
940	9571	600
941	9582	590
942	9593	579
943	9604	569
944	9615	559
945	9626	549
946	9636	539
947	9647	529
948	9660	519
949	9669	508
950	9679	498
951	9688	488
952	9699	478
953	9708	468
954	9718	457
955	9729	447
956	9740	437
957	9751	427
958	9763	417
959	9773	407
960	9784	397
961	9795	386
962	9807	376
963	9816	366
964	9825	356
965	9835	346
966	9847	336
967	9858	325
968	9868	315
969	9877	305
970	9887	295
971	9898	285
972	9907	274
973	9917	264
974	9927	254
975	9938	244
976	9950	234
977	9961	224
978	9973	213
979	9984	203
980	9997	193
981	10008	183
982	10019	173
983	10029	163
984	10040	152
985	10052	142
986	10063	132
987	10073	122
988	10083	112
989	10093	101
990	10102	91
991	10112	81
992	10123	71
993	10132	61
994	10142	50
995	10152	40
996	10163	30
997	10172	20
998	10185	10
999	10197	0
